source_id,filename,label,sequence,druid_no_audio
M1897_FAF1015900102-FAF1015900202,bb870bw0412_1_a_pm.wav,"Tape 1, Side A",,
,bb870bw0412_1_a_sl.mp3,"Tape 1, Side A",1,
,bb870bw0412_1_b_pm.wav,"Tape 1, Side B",,
,bb870bw0412_1_b_sl.mp3,"Tape 1, Side B",2,
,bb870bw0412_2_a_pm.wav,"Tape 2, Side A",,
,bb870bw0412_2_a_sl.mp3,"Tape 2, Side A",3,
M1897_FAF0718920303,bc214fh1828_a_pm.wav,"Tape 1, Side A",,
,bc214fh1828_a_sl.mp3,"Tape 1, Side A",1,
M1897_FAF1215980102-FAF1215980202,bd142kb8408_1_a_pm.wav,"Tape 1, Side A",,
,bd142kb8408_1_a_sl.mp3,"Tape 1, Side A",1,
,bd142kb8408_1_b_pm.wav,"Tape 1, Side B",,
,bd142kb8408_1_b_sl.mp3,"Tape 1, Side B",2,
,bd142kb8408_2_a_pm.wav,"Tape 2, Side A",,
,bd142kb8408_2_a_sl.mp3,"Tape 2, Side A",3,
,bd142kb8408_2_b_pm.wav,"Tape 2, Side B",,
,bd142kb8408_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF1005940102-FAF1005940202,bd990zj6305_1_a_pm.wav,"Tape 1, Side A",,
,bd990zj6305_1_a_sl.mp3,"Tape 1, Side A",1,
,bd990zj6305_1_b_pm.wav,"Tape 1, Side B",,
,bd990zj6305_1_b_sl.mp3,"Tape 1, Side B",2,
,bd990zj6305_2_a_pm.wav,"Tape 2, Side A",,
,bd990zj6305_2_a_sl.mp3,"Tape 2, Side A",3,
,bd990zj6305_2_b_pm.wav,"Tape 2, Side B",,
,bd990zj6305_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF1107960101,bf995hj6347_a_pm.wav,"Tape 1, Side A",,
,bf995hj6347_a_sl.mp3,"Tape 1, Side A",1,
,bf995hj6347_b_pm.wav,"Tape 1, Side B",,
,bf995hj6347_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF1113990103-FAF1113990203-FAF1113990303,bg378xb0484_1_a_pm.wav,"Tape 1, Side A",,
,bg378xb0484_1_a_sl.mp3,"Tape 1, Side A",1,
,bg378xb0484_1_b_pm.wav,"Tape 1, Side B",,
,bg378xb0484_1_b_sl.mp3,"Tape 1, Side B",2,
,bg378xb0484_2_a_pm.wav,"Tape 2, Side A",,
,bg378xb0484_2_a_sl.mp3,"Tape 2, Side A",3,
,bg378xb0484_2_b_pm.wav,"Tape 2, Side B",,
,bg378xb0484_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF0226840101,bj769fd1524_a_pm.wav,"Tape 1, Side A",,
,bj769fd1524_a_sl.mp3,"Tape 1, Side A",1,
,bj769fd1524_b_pm.wav,"Tape 1, Side B",,
,bj769fd1524_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF00009602022-FAF00009601022,bj813hd9852_1_a_pm.wav,"Tape 1, Side A",,
,bj813hd9852_1_a_sl.mp3,"Tape 1, Side A",1,
