folder,druid,sourceid,label
80110083-IF000000885,rx633fh1965,sul:M1230_B367_T01,
80110084-IF000000889,xv089jk9861,sul:M1230_B367_T02,
80110085-IF000000893,wd096ws9733,sul:M1230_B367_T03,
80110086-IF000000897,dr302jv0264,sul:M1230_B367_T04,
80110087-IF000000901,kc048dc7012,sul:M1230_B367_T05,
80010001-IF000000001,cf236ns8944,sul:ARS0018_0001-A,
80010002-IF000000002,fv479zv9302,sul:ARS0018_0002-A,
80010002-IF000000003,sx003fm4488,sul:ARS0018_0002-B,
80010003-IF000000004,br402ct1391,sul:ARS0018_0004-A,
80010004-IF000000005,tw884bm9869,sul:ARS0018_0005-A,
80010005-IF000000006,dt279tr9736,sul:ARS0018_0006-A,
80010006-IF000000007,zf690fw2344,sul:ARS0018_0008-A,
80010007-IF000000008,sf877wj4506,sul:ARS0018_0010-A,
80010007-IF000000009,yy027yx5870,sul:ARS0018_0010-B,
80010008-IF000000010,ck539rb7217,sul:ARS0018_0012-A,
80010008-IF000000011,qq646tw3201,sul:ARS0018_0012-B,
80100001-IF000000705,pt604gg4007,sul:ARS0018_0014-A,
80010009-IF000000012,dv643bd0512,sul:ARS0018_0015-A,
80010010-IF000000013,jn166qt0901,sul:ARS0018_0016-A,
80010011-IF000000014,tb737yk9239,sul:ARS0018_0017-A,
80010012-IF000000015,cb988sn5293,sul:ARS0018_0018-A,
80010013-IF000000016,xk031yt7959,sul:ARS0018_0019-A,
80010014-IF000000107,tz541mz5010,sul:ARS0018_0020-A,
80010015-IF000000017,ff928sn7286,sul:ARS0018_0021-A,
80010016-IF000000018,gd462fs4709,sul:ARS0018_0022-A,
80010017-IF000000019,tj044dm0982,sul:ARS0018_0023-A,
80010018-IF000000020,zy248cy1732,sul:ARS0018_0024-A,
80010019-IF000000108,dd844jc8902,sul:ARS0018_0025-A,
80010020-IF000000109,cr318ts5490,sul:ARS0018_0026-A,
80010021-IF000000110,pp458mp7312,sul:ARS0018_0027-A,
80010022-IF000000111,xn071xz4878,sul:ARS0018_0028-A,
80010023-IF000000112,dd550mx0102,sul:ARS0018_0029-A,
80010024-IF000000021,df183bd2711,sul:ARS0018_0030-A,
80010025-IF000000022,zs850dc1899,sul:ARS0018_0031-A,
80010026-IF000000023,ph346vf2647,sul:ARS0018_0032-A,
80010027-IF000000024,tq538pp3534,sul:ARS0018_0033-A,
80010028-IF000000025,tf598mm2438,sul:ARS0018_0034-A,
80010028-IF000000026,yk512fw2026,sul:ARS0018_0034-B,
80010029-IF000000027,wc338xt7580,sul:ARS0018_0035-A,
80010029-IF000000028,qc402zg0056,sul:ARS0018_0035-B,
80010030-IF000000029,py485vd3206,sul:ARS0018_0037-A,
80010030-IF000000030,hy204dn1892,sul:ARS0018_0037-B,
80010031-IF000000031,hx472kn8899,sul:ARS0018_0039-A,
80010031-IF000000032,jd526hw2289,sul:ARS0018_0039-B,
80010032-IF000000033,pd525vj6494,sul:ARS0018_0041-A,
80010032-IF000000034,js727qq5865,sul:ARS0018_0041-B,
80010033-IF000000035,pv194gy1553,sul:ARS0018_0042-A,
80010034-IF000000036,fk006fg5942,sul:ARS0018_0043-A,
80010035-IF000000037,hb877cq3444,sul:ARS0018_0044-A,
80010036-IF000000038,ks029kb2578,sul:ARS0018_0046-A,
80010037-IF000000039,rp731wn5660,sul:ARS0018_0049-A,
80010038-IF000000040,gb371kg3425,sul:ARS0018_0050-A,
80010039-IF000000041,bn794gk6505,sul:ARS0018_0051-A,
80010040-IF000000042,mt597gz9389,sul:ARS0018_0053-A,
80010041-IF000000043,rc051nj9382,sul:ARS0018_0054-A,
80010042-IF000000044,tt712wg3844,sul:ARS0018_0055-A,
80010043-IF000000045,dr364mh4531,sul:ARS0018_0056-A,
80100002-IF000000706,rr023gr4336,sul:ARS0018_0057-A,
80010044-IF000000046,qk864db8294,sul:ARS0018_0058-A,
80010045-IF000000047,xk682gs3212,sul:ARS0018_0059-A,
80010046-IF000000048,zv322pq9152,sul:ARS0018_0060-A,
80010047-IF000000049,nk276pz2560,sul:ARS0018_0061-A,
80010048-IF000000050,pt086kf0727,sul:ARS0018_0062-A,
80010049-IF000000051,ny331kg5875,sul:ARS0018_0063-A,
80010050-IF000000052,tx212sc8025,sul:ARS0018_0064-A,
80040001-IF000000164,mw068kv0184,sul:ARS0018_0065-A,
80020001-IF000000053,qq031bg0864,sul:ARS0018_0066-A,
80020002-IF000000054,bw906dk7627,sul:ARS0018_0066A-A,
80020003-IF000000055,bz888gn2259,sul:ARS0018_0067-A,
80040002-IF000000165,yn917hf6903,sul:ARS0018_0068-A,
80040003-IF000000166,mr047ct8049,sul:ARS0018_0069-A,
80040004-IF000000167,bf953gw3509,sul:ARS0018_0070-A,
80020004-IF000000056,rz550xc8326,sul:ARS0018_0071-A,
80020005-IF000000057,hy946hy0862,sul:ARS0018_0072-A,
80040005-IF000000168,kb758wj3389,sul:ARS0018_0073-A,
80020006-IF000000058,sz487yw4332,sul:ARS0018_0074-A,
80020007-IF000000059,bg988vp9668,sul:ARS0018_0075-A,
80020008-IF000000060,zq735jb9601,sul:ARS0018_0076-A,
80040006-IF000000169,mp709tb0047,sul:ARS0018_0077-A,
80020009-IF000000061,wg590hv5067,sul:ARS0018_0078-A,
80040007-IF000000170,fs560xp2796,sul:ARS0018_0079-A,
80040008-IF000000171,fr625dk9961,sul:ARS0018_0080-A,
80020010-IF000000062,zv999bs3096,sul:ARS0018_0081-A,
80020011-IF000000063,ty728hp3548,sul:ARS0018_0082-A,
80040009-IF000000172,xk226nk1923,sul:ARS0018_0083-A,
80040010-IF000000173,kz956cx1950,sul:ARS0018_0085-A,
80100003-IF000000707,vd723tm6272,sul:ARS0018_0086-A,
