source_id,filename,label,sequence,druid_no_audio
SC1017_s1_Swank,yc622fj2446_143_a_pm.wav,"Tape 1, Side A",,
,yc622fj2446_143_a_sh.wav,"Tape 1, Side A",,
,yc622fj2446_143_a_sl.mp3,"Tape 1, Side A",1,
,yc622fj2446_143_b_pm.wav,"Tape 1, Side B",,
,yc622fj2446_143_b_sh.wav,"Tape 1, Side B",,
,yc622fj2446_143_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s1_Hansen,zj580hj2003_72_a_pm.wav,"Tape 1, Side A",,
,zj580hj2003_72_a_sh.wav,"Tape 1, Side A",,
,zj580hj2003_72_a_sl.mp3,"Tape 1, Side A",1,
,zj580hj2003_72_b_pm.wav,"Tape 1, Side B",,
,zj580hj2003_72_b_sh.wav,"Tape 1, Side B",,
,zj580hj2003_72_b_sl.mp3,"Tape 1, Side B",2,
,zj580hj2003_73_a_pm.wav,"Tape 2, Side A",,
,zj580hj2003_73_a_sh.wav,"Tape 2, Side A",,
,zj580hj2003_73_a_sl.mp3,"Tape 2, Side A",3,
,zj580hj2003_73_b_pm.wav,"Tape 2, Side B",,
,zj580hj2003_73_b_sh.wav,"Tape 2, Side B",,
,zj580hj2003_73_b_sl.mp3,"Tape 2, Side B",4,
