source_id,filename,label,sequence,druid_no_audio
SC1017_s1_Manson,bc006dj2846_111_a_pm.wav,"Tape 1, Side A",,
,bc006dj2846_111_a_sh.wav,"Tape 1, Side A",,
,bc006dj2846_111_a_sl.mp3,"Tape 1, Side A",1,
,bc006dj2846_111_b_pm.wav,"Tape 1, Side B",,
,bc006dj2846_111_b_sh.wav,"Tape 1, Side B",,
,bc006dj2846_111_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s1_Schofield,bg598tg6338_125_a_pm.wav,"Tape 1, Side A",,
,bg598tg6338_125_a_sh.wav,"Tape 1, Side A",,
,bg598tg6338_125_a_sl.mp3,"Tape 1, Side A",1,
,bg598tg6338_125_b_pm.wav,"Tape 1, Side B",,
,bg598tg6338_125_b_sh.wav,"Tape 1, Side B",,
,bg598tg6338_125_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s1_Hall_Marion,bh634sp8073_71_a_pm.wav,"Tape 1, Side A",,
,bh634sp8073_71_a_sh.wav,"Tape 1, Side A",,
,bh634sp8073_71_a_sl.mp3,"Tape 1, Side A",1,
,bh634sp8073_71_b_pm.wav,"Tape 1, Side B",,
,bh634sp8073_71_b_sh.wav,"Tape 1, Side B",,
,bh634sp8073_71_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s3_Lane,bh744xf2156_181_a_pm.wav,"Tape 1, Side A",,
,bh744xf2156_181_a_sh.wav,"Tape 1, Side A",,
,bh744xf2156_181_a_sl.mp3,"Tape 1, Side A",1,
,bh744xf2156_181_b_pm.wav,"Tape 1, Side B",,
,bh744xf2156_181_b_sh.wav,"Tape 1, Side B",,
,bh744xf2156_181_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s6_Anderson,bm619rw5446_218_a_pm.wav,"Tape 1, Side A",,
,bm619rw5446_218_a_sh.wav,"Tape 1, Side A",,
,bm619rw5446_218_a_sl.mp3,"Tape 1, Side A",1,
,bm619rw5446_218_b_pm.wav,"Tape 1, Side B",,
,bm619rw5446_218_b_sh.wav,"Tape 1, Side B",,
,bm619rw5446_218_b_sl.mp3,"Tape 1, Side B",2,
,bm619rw5446_219_a_pm.wav,"Tape 2, Side A",,
,bm619rw5446_219_a_sh.wav,"Tape 2, Side A",,
,bm619rw5446_219_a_sl.mp3,"Tape 2, Side A",3,
,bm619rw5446_220_a_pm.wav,"Tape 3, Side A",,
,bm619rw5446_220_a_sh.wav,"Tape 3, Side A",,
,bm619rw5446_220_a_sl.mp3,"Tape 3, Side A",4,
,bm619rw5446_220_b_pm.wav,"Tape 3, Side B",,
,bm619rw5446_220_b_sh.wav,"Tape 3, Side B",,
,bm619rw5446_220_b_sl.mp3,"Tape 3, Side B",5,
,bm619rw5446_221_a_pm.wav,"Tape 4, Side A",,
,bm619rw5446_221_a_sh.wav,"Tape 4, Side A",,
,bm619rw5446_221_a_sl.mp3,"Tape 4, Side A",6,
SC1017_s5_Ringressy,bp397gc2703_274_a_pm.wav,"Tape 1, Side A",,
,bp397gc2703_274_a_sh.wav,"Tape 1, Side A",,
,bp397gc2703_274_a_sl.mp3,"Tape 1, Side A",1,
,bp397gc2703_274_b_pm.wav,"Tape 1, Side B",,
,bp397gc2703_274_b_sh.wav,"Tape 1, Side B",,
,bp397gc2703_274_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s1_Wilbur_Dwight,bs096rg9691_149_a_pm.wav,"Tape 1, Side A",,
,bs096rg9691_149_a_sh.wav,"Tape 1, Side A",,
,bs096rg9691_149_a_sl.mp3,"Tape 1, Side A",1,
,bs096rg9691_149_b_pm.wav,"Tape 1, Side B",,
,bs096rg9691_149_b_sh.wav,"Tape 1, Side B",,
,bs096rg9691_149_b_sl.mp3,"Tape 1, Side B",2,
,bs096rg9691_150_a_pm.wav,"Tape 2, Side A",,
,bs096rg9691_150_a_sh.wav,"Tape 2, Side A",,
,bs096rg9691_150_a_sl.mp3,"Tape 2, Side A",3,
,bs096rg9691_150_b_pm.wav,"Tape 2, Side B",,
,bs096rg9691_150_b_sh.wav,"Tape 2, Side B",,
,bs096rg9691_150_b_sl.mp3,"Tape 2, Side B",4,
,bs096rg9691_151_a_pm.wav,"Tape 3, Side A",,
,bs096rg9691_151_a_sh.wav,"Tape 3, Side A",,
,bs096rg9691_151_a_sl.mp3,"Tape 3, Side A",5,
,bs096rg9691_151_b_pm.wav,"Tape 3, Side B",,
,bs096rg9691_151_b_sh.wav,"Tape 3, Side B",,
,bs096rg9691_151_b_sl.mp3,"Tape 3, Side B",6,
,bs096rg9691_152_a_pm.wav,"Tape 4, Side A",,
,bs096rg9691_152_a_sh.wav,"Tape 4, Side A",,
,bs096rg9691_152_a_sl.mp3,"Tape 4, Side A",7,
,bs096rg9691_152_b_pm.wav,"Tape 4, Side B",,
,bs096rg9691_152_b_sh.wav,"Tape 4, Side B",,
,bs096rg9691_152_b_sl.mp3,"Tape 4, Side B",8,
,bs096rg9691_153_a_pm.wav,"Tape 5, Side A",,
,bs096rg9691_153_a_sh.wav,"Tape 5, Side A",,
,bs096rg9691_153_a_sl.mp3,"Tape 5, Side A",9,
SC1017_s1_Wilbur_Mary,bx920gw4740_154_a_pm.wav,"Tape 1, Side A",,
,bx920gw4740_154_a_sh.wav,"Tape 1, Side A",,
,bx920gw4740_154_a_sl.mp3,"Tape 1, Side A",1,
,bx920gw4740_154_b_pm.wav,"Tape 1, Side B",,
,bx920gw4740_154_b_sh.wav,"Tape 1, Side B",,
,bx920gw4740_154_b_sl.mp3,"Tape 1, Side B",2,
,bx920gw4740_155_a_pm.wav,"Tape 2, Side A",,
,bx920gw4740_155_a_sh.wav,"Tape 2, Side A",,
,bx920gw4740_155_a_sl.mp3,"Tape 2, Side A",3,
SC1017_s6_Bliss,by590pt3484_222_a_pm.wav,"Tape 1, Side A",,
,by590pt3484_222_a_sh.wav,"Tape 1, Side A",,
,by590pt3484_222_a_sl.mp3,"Tape 1, Side A",1,
,by590pt3484_222_b_pm.wav,"Tape 1, Side B",,
,by590pt3484_222_b_sh.wav,"Tape 1, Side B",,
,by590pt3484_222_b_sl.mp3,"Tape 1, Side B",2,
,by590pt3484_223_a_pm.wav,"Tape 2, Side A",,
,by590pt3484_223_a_sh.wav,"Tape 2, Side A",,
,by590pt3484_223_a_sl.mp3,"Tape 2, Side A",3,
,by590pt3484_223_b_pm.wav,"Tape 2, Side B",,
,by590pt3484_223_b_sh.wav,"Tape 2, Side B",,
,by590pt3484_223_b_sl.mp3,"Tape 2, Side B",4,
,by590pt3484_224_a_pm.wav,"Tape 3, Side A",,
,by590pt3484_224_a_sh.wav,"Tape 3, Side A",,
,by590pt3484_224_a_sl.mp3,"Tape 3, Side A",5,
SC1017_s7_Kriss,bz074xf0149_276_a_pm.wav,"Tape 1, Side A",,
,bz074xf0149_276_a_sh.wav,"Tape 1, Side A",,
,bz074xf0149_276_a_sl.mp3,"Tape 1, Side A",1,
,bz074xf0149_276_b_pm.wav,"Tape 1, Side B",,
,bz074xf0149_276_b_sh.wav,"Tape 1, Side B",,
,bz074xf0149_276_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s6_Englebart,cb260zz4895_229_a_pm.wav,"Tape 1, Side A",,
